temperature_c,gas_raw,water_level_cm,acceleration_x_ms2,acceleration_y_ms2,acceleration_z_ms2,sos,risk_level,scenario
28.1,190.0,5.4,-0.06,-0.06,9.8,False,LOW,normal
27.9,193.0,5.7,-0.01,0.01,9.83,False,LOW,normal
28.4,189.0,5.9,0.0,0.01,9.84,False,LOW,normal
28.5,200.0,5.6,-0.08,-0.04,9.91,False,LOW,normal
28.4,200.0,5.2,-0.02,-0.07,9.93,False,LOW,normal
28.6,190.0,5.0,-0.01,-0.06,9.84,False,LOW,normal
28.8,190.0,4.5,-0.01,0.03,9.86,False,LOW,normal
29.0,189.0,4.5,-0.08,0.02,9.8,False,LOW,normal
28.5,197.0,4.1,-0.07,-0.04,9.78,False,LOW,normal
28.7,199.0,4.2,-0.01,-0.06,9.77,False,LOW,normal
29.5,202.0,4.2,-0.09,-0.01,9.71,False,LOW,normal
30.0,202.0,4.6,-0.15,0.0,9.69,False,LOW,normal
29.6,211.0,5.0,-0.1,0.08,9.71,False,LOW,normal
29.8,198.0,5.7,-0.14,0.05,9.75,False,LOW,normal
29.0,209.0,5.3,-0.18,0.07,9.81,False,LOW,normal
28.7,199.0,5.5,-0.22,0.05,9.85,False,LOW,normal
28.0,196.0,5.1,-0.28,0.09,9.93,False,LOW,normal
27.9,190.0,5.4,-0.29,0.2,9.92,False,LOW,normal
27.6,189.0,4.9,-0.25,0.21,9.98,False,LOW,normal
27.8,170.0,4.8,-0.26,0.25,9.98,False,LOW,normal
27.1,178.0,5.0,-0.21,0.32,10.0,False,LOW,normal
26.9,186.0,5.1,-0.23,0.33,10.0,False,LOW,normal
26.8,184.0,4.5,-0.19,0.28,10.04,False,LOW,normal
27.6,172.0,4.8,-0.23,0.34,10.0,False,LOW,normal
28.4,160.0,4.7,-0.25,0.35,10.03,False,LOW,normal
28.6,159.0,4.7,-0.16,0.36,10.04,False,LOW,normal
28.0,154.0,4.6,-0.16,0.43,10.0,False,LOW,normal
28.7,163.0,5.1,-0.16,0.37,9.93,False,LOW,normal
28.7,178.0,5.3,-0.23,0.35,9.93,False,LOW,normal
28.3,180.0,5.9,-0.16,0.41,9.83,False,LOW,normal
28.4,186.0,5.8,-0.16,0.41,9.79,False,LOW,normal
28.4,182.0,6.0,-0.07,0.44,9.77,False,LOW,normal
28.3,180.0,6.1,-0.08,0.53,9.83,False,LOW,normal
28.1,168.0,6.1,-0.07,0.47,9.89,False,LOW,normal
28.2,175.0,6.3,-0.02,0.41,9.93,False,LOW,normal
28.9,179.0,5.8,0.09,0.34,9.96,False,LOW,normal
29.6,165.0,6.0,0.12,0.33,9.96,False,LOW,normal
29.5,159.0,5.7,0.08,0.23,9.94,False,LOW,normal
28.7,161.0,6.0,0.14,0.24,9.97,False,LOW,normal
28.7,163.0,6.4,0.07,0.25,9.91,False,LOW,normal
27.9,159.0,6.7,0.07,0.25,9.96,False,LOW,normal
27.9,160.0,6.7,0.05,0.24,9.92,False,LOW,normal
27.6,160.0,7.1,0.08,0.15,9.88,False,LOW,normal
28.1,163.0,7.0,0.1,0.07,9.84,False,LOW,normal
28.5,172.0,6.8,0.08,0.08,9.88,False,LOW,normal
28.6,174.0,6.8,0.06,0.01,9.91,False,LOW,normal
28.9,170.0,7.3,0.08,-0.02,9.93,False,LOW,normal
28.2,168.0,6.6,0.03,-0.01,9.88,False,LOW,normal
28.6,161.0,6.6,0.01,-0.09,9.88,False,LOW,normal
28.6,166.0,6.0,0.07,-0.13,9.91,False,LOW,normal
28.2,152.0,6.2,0.02,-0.13,9.85,False,LOW,normal
28.0,146.0,6.0,0.03,-0.17,9.91,False,LOW,normal
28.7,156.0,5.8,0.03,-0.1,9.87,False,LOW,normal
29.1,159.0,5.6,0.0,-0.05,9.91,False,LOW,normal
28.8,165.0,5.7,0.02,0.0,9.87,False,LOW,normal
29.1,171.0,5.5,0.06,0.02,9.92,False,LOW,normal
